year,talk,organizer,event,event_link,image_link,recording_link,language,type,date,location,tags,icon,abstract,color
2025,Fundamentals of NLP for small businesses,Galician Supercomputing Center (CESGA),Galician Supercomputing Center (CESGA) | AI Hackathon EuroCC2,https://cesga.es/hackathon-eurocc2-de-ia-para-pymes,images/logos/CESGA_square.jpg,,Spanish,Workshop,2025-09,Spain,"NLP, Small Business, 🇪🇸",i-mdi-newspaper,"Galician Supercomputing Center (CESGA), 2h workshop part of the AI Hackathon EuroCC2",
2025,Deep Learning for NLP,"National University of Asunción, Paraguay (UNA)","National University of Asunción, Paraguay (UNA) | Diplomado en PLN e IA",https://pol.una.py/extension/formacion-continua/diplomados/diplomado-en-procesamiento-de-lenguaje-natural-e-inteligencia-artificial,images/logos/UNA.jpeg,,Spanish,Module,2025-09,Paraguay,"Deep Learning, NLP, 🇵🇾",i-mdi-newspaper,"National University of Asunción, Paraguay (UNA), 20h undergrad module in NLP Degree",
2025,"Intersecciones críticas: inteligencia artificial, sesgos y subjetividades",Ministerio de Cultura,Ministerio de Cultura | XI Encuentro de Cultura y Ciudadanía,https://espaciovirtual.culturayciudadania.es/programa/,images/events/20250927_cartel.png,,Spanish,Round Table (Moderator),2025-09,"Barcelona, Spain","AI Bias, Critical AI, 🇪🇸",i-mdi-newspaper,"Ministerio de Cultura, XI Encuentro de Cultura y Ciudadanía, round table moderator <a href=""https://www.linkedin.com/feed/update/urn:li:activity:7378339754968387584/"" target=""_blank"" class=""text-accent-500 hover:underline"">LinkedIn post</a> <a href=""https://culturayciudadania.cultura.gob.es/encuentro-cultura-ciudadania/2023-redirige/presentacion.html"" target=""_blank"" class=""text-accent-500 hover:underline"">Presentación</a>",
2025,LLM Grooming: Cómo se está intentando engañar a la IA en español,Secretaría General Iberoamericana (SEGIB) & Maldita.es,"Secretaría General Iberoamericana (SEGIB) & Maldita.es | Pabellón Iberoamericano, Feria del Libro",https://exteriores.gob.es/es/PoliticaExterior/Documents/250527_Programa%20Pabell%c3%b3n%20Iberoamericano.pdf,images/events/20250613_cartel.png,,Spanish,Round Table,2025-06,"Madrid, Spain","LLM Security, AI Safety, 🇪🇸",i-mdi-newspaper,"Secretaría General Iberoamericana (SEGIB) & Maldita.es, Pabellón Iberoamericano, Feria del Libro",
2025,Natural Language Processing,International University of Andalucía (UNIA),International University of Andalucía (UNIA) | Summer School: Fundamentos de Inteligencia Artificial: Modelos Generativos y Aplicaciones Avanzadas,https://unia.es/estudios-y-acceso/oferta-academica/cursos-de-verano/fundamentos-de-inteligencia-artificial-modelos-generativos-y-aplicaciones-avanzadas,images/logos/UNIA_square.png,,Spanish,Workshop,2025-08,"Baeza, Spain","NLP, Summer School, 🇪🇸",i-mdi-newspaper,"International University of Andalucía (UNIA), 2.5h workshop at the Summer School",
2025,RLHF & Model Alignment,National Center of Artificial Intelligence (CENIA),National Center of Artificial Intelligence (CENIA) | Diplomado de PLN,,images/logos/CENIA_square.jpeg,,Spanish,Masterclass,2025-04,Chile (Remote),"RLHF, Model Alignment, 🇪🇸",i-mdi-newspaper,"National Center of Artificial Intelligence (CENIA), 4h undergrad masterclass",
2025,How to impulse the development of LLMs in Spanish,University of Chile (UChile),University of Chile (UChile),,images/logos/UChile_color.png,,Spanish,Talk,2025-04,"Santiago de Chile, Chile","LLMs, Spanish, 🇨🇱",i-mdi-newspaper,"University of Chile (UChile), talk",
2025,Promoting inclusive NLP: Why and how to engage the community,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),,images/logos/MBZUAI.png,,English,Talk,2025-02,"Abu Dhabi, UAE","Inclusive NLP, Community, 🇦🇪",i-mdi-newspaper,"Mohamed bin Zayed University of Artificial Intelligence (MBZUAI), talk",
2024,Evaluation of Large Language Models (LLMs),Universidad Politécnica de Madrid,"Universidad Politécnica de Madrid (UPM), Entaina, IEEE - Sección España & SomosNLP",https://somosnlp.org/blog/evento-eval-llm-upm,images/events/241217_evaluacion_llms_upm.png,,Spanish,Workshop,2024-12-17,"Madrid, Spain",Inclusive AI,i-mdi-newspaper,Universidad Politécnica de Madrid,
2024,2024: The Year of AI,Carne Cruda,Carne Cruda | Mundos Posibles,https://www.eldiario.es/carnecruda/programas/ia-no-lista-todavia_132_11909156.html,images/events/241218_carne_cruda_1.png,,Spanish,Radio (Featured),2024-12-18,Spain (Remote),Inclusive AI,i-mdi-newspaper,Carne Cruda,
