status,title,tags,link,color,icon,description
featured,SomosNLP,"My 💛 project",https://somosnlp.org,text-yellow-600 bg-yellow-100 dark:text-white dark:bg-yellow-500,i-fluent-rocket-24-regular,"Did you know that we are 600 million Spanish-speaking individuals around the world? SomosNLP.org is an international community aiming to represent in AI the linguistic and cultural diversity of LATAM, the Caribbean and Spain by creating open-source resources. <a target=""_blank"" href=""https://discord.com/invite/my8w7JUxZR"" class=""text-accent-700 dark:text-accent-300 hover:underline"">Join us!</a>"
current,"Open Leaderboard for the languages of Spain and LATAM","LLM Evaluation, NLP in Spanish",https://huggingface.co/spaces/la-leaderboard/la-leaderboard,text-pink-600 bg-pink-50 dark:text-white dark:bg-pink-600,i-fluent-star-28-regular,"Open-source leaderboard to evaluate LLM memorization, reasoning and linguistic capabilities in the languages of Spain, LATAM and the Caribbean. Developed as part of the #Somos600M Project thanks to the donation of 60 high-quality datasets by 10 research groups. <a href=""https://huggingface.co/spaces/la-leaderboard/la-leaderboard"" target=""_blank"" class=""text-accent-500 dark:text-accent-300 hover:underline"">La Leaderboard is live!</a> Press release UPM: https://www.upm.es/UPM/SalaPrensa/Noticias_de_investigacion?fmt=detail&prefmt=articulo&id=CON14356"
current,"The INCLUDE Multicultural Benchmark","Cultural Bias, Multilingual NLP",https://arxiv.org/abs/2411.19799,text-blue-600 bg-blue-50 dark:text-white dark:bg-blue-600,i-fluent-globe-24-regular,"The INCLUDE project aims to create a multicultural and multilingual benchmark. As part of my Master's thesis, I'm leading the effort to extend the <a target=""_blank"" href=""https://arxiv.org/abs/2411.19799"" class=""text-accent-700 dark:text-accent-300 hover:underline"">v1</a> to the languages of LATAM, the Caribbean and Spain. We're looking for exams in EVERY language and welcome active participation. <a target=""_blank"" href=""https://somosnlp.org/blog/include"" class=""text-accent-700 dark:text-accent-300 hover:underline"">Share an exam in your language!</a>"
current,"FineWeb-2 Annotation Campaign","Annotation, NLP, Hugging Face",https://somosnlp.org/blog/fineweb-2,text-green-600 bg-green-50 dark:text-white dark:bg-green-600,i-fluent-edit-24-regular,"FineWeb 2 is an annotation campaign by Hugging Face aimed at creating a high-quality multilingual dataset. I'm the Language Lead for Spanish and responsible for the other languages from LATAM, the Caribbean and Spain. The annotation consists of evaluating the educative level of texts, it's really easy and makes a huge impact. <a target=""_blank"" href=""https://somosnlp.org/blog/fineweb-2"" class=""text-accent-700 dark:text-accent-300 hover:underline"">Join the effort!</a>"
current,"Validation of machine-translated evaluation datasets","Translation, Bias, NLP in Spanish",https://somosnlp.org/somos600m,text-purple-900 bg-purple-50 dark:text-white dark:bg-purple-600,i-fluent-checkbox-checked-24-regular,"Community effort to validate the machine-translated Spanish versions of 3 widely-used evaluation datasets (MMLU, RAC-C, and HellaSwag) and the prompt dataset from the Data Is Better Together (DIBT) initiative. Efforts co-organized by SomosNLP, Hugging Face & Argilla. <a target=""_blank"" href=""https://huggingface.co/collections/somosnlp/creacion-de-corpus-en-comunidad-65f6715788a1b82645ba0ce2"" class=""text-accent-700 dark:text-accent-300 hover:underline"">Join us!</a>"
current,"Dataset collection campaign","Data, NLP in Spanish",https://somosnlp.org/donatucorpus,text-orange-600 bg-orange-100 dark:text-white dark:bg-orange-500,i-fluent-book-24-regular,"At SomosNLP we are collecting datasets in the languages spoken in LATAM, the Caribbean and Spain. <a target=""_blank"" href=""https://somosnlp.org/donatucorpus"" class=""text-accent-700 dark:text-accent-300 hover:underline"">Collaborate and help us collect diverse data!</a>"
current,"Spanish NLP Initiatives","NLP in Spanish",https://huggingface.co/spaces/somosnlp/spanish-nlp-initiatives,text-green-600 bg-green-50 dark:text-white dark:bg-green-600,i-fluent-list-24-regular,"Discover the initiatives driving NLP advancements in Spanish and other low-resource languages spoken in LatAm and Spain."
previous,"Hackathon SomosNLP 2024: #Somos600M","Instruction-tuned LLMs, NLP in Spanish",https://somosnlp.org/hackathon,,i-fluent-rocket-24-regular,"Third edition of the largest open-source hackathon of NLP in Spanish. This year's edition counted with +600 participants and 12 amazing speakers. <br /> Check the <a target=""_blank"" href=""https://www.youtube.com/playlist?list=PLTA-KAy8nxaASMwEUWkkTfMaDxWBxn-8J"" class=""text-accent-700 dark:text-accent-300 hover:underline"">recorded talks and keynotes!</a>"
previous,"Transparency Self-Assessment","Responsible AI",https://huggingface.co/spaces/mariagrandury/fmti-transparency-self-assessment,text-yellow-600 bg-yellow-100 dark:text-white dark:bg-yellow-500,i-fluent-lightbulb-24-regular,"This tool allows you to self-assess the transparency of your model development based on the Foundation Model Transparency Index (FMTI) published by the Center for Research on Foundation Models."
previous,"Hackathon SomosNLP 2023: Los LLMs hablan español","LLMs, NLP in Spanish",https://somosnlp.org/hackathon,,i-fluent-rocket-24-regular,"Second edition of the largest open-source hackathon of NLP in Spanish. This year's edition counted with +500 participants, 17 speakers, and 7 mentors. <br /> Check the <a target=""_blank"" href=""https://twitter.com/SomosNLP_/status/1648752306978971666"" class=""text-accent-700 dark:text-accent-300 hover:underline"">awarded projects</a> and the <a target=""_blank"" href=""https://www.youtube.com/playlist?list=PLTA-KAy8nxaCDc0IJpLac-3csiAepV546"" class=""text-accent-700 dark:text-accent-300 hover:underline"">recorded talks and keynotes!</a>"
